# title,s1,s2,s3,s4,s5
2,3,3,2,3,3
2,1,2,1,3,1
2,3,1,2,1,1
2,2,2,2,2,2
1,1,2,3,0,3
2,2,2,2,1,1
3,2,1,2,3,2
2,2,2,3,3,2
2,3,1,1,3,3
2,2,3,2,3,1
2,2,1,2,1,3
2,3,2,1,1,1
2,3,3,2,2,1
2,1,2,1,1,1
2,1,1,1,2,1
2,2,3,3,3,3
2,3,3,2,1,3
2,1,2,2,1,1
2,2,3,2,3,3
2,1,3,3,3,3
3,3,3,3,3,1
2,2,3,1,1,2
3,1,3,2,1,3
2,1,1,1,2,2
2,3,2,1,2,1
2,3,4,1,1,3
2,2,1,2,2,2
2,1,2,3,3,1
3,1,3,1,1,2
2,3,1,2,2,2
1,2,1,1,1,3
2,2,3,3,3,3
2,2,3,2,1,3
2,2,1,3,1,3
2,1,3,1,1,2
2,2,2,2,3,1
2,2,1,1,1,1
2,2,1,3,3,3
2,2,1,2,2,1
3,3,1,2,2,3
2,1,1,3,2,2
2,2,2,3,2,3
2,2,3,1,2,1
2,2,2,2,3,3
2,2,2,2,2,2
2,2,1,3,2,3
2,1,2,2,1,3
2,3,3,2,2,3
2,1,2,2,1,3
2,2,1,1,1,2
2,2,1,1,2,2
2,1,1,1,1,1
2,1,2,2,1,2
2,2,1,1,1,3
1,1,2,2,3,1
2,3,1,2,3,1
2,1,1,2,3,3
2,3,3,2,1,2
2,3,2,2,2,1
2,2,3,1,2,3
2,2,1,2,1,3
2,2,3,1,3,3
2,2,2,1,1,2
2,3,3,3,3,1
2,2,2,2,1,1
2,2,3,1,2,1
2,2,1,3,2,1
2,1,1,1,1,1
2,1,3,2,3,2
2,2,2,3,1,2
2,2,1,1,3,3
2,3,3,2,2,2
2,3,3,1,2,1
2,2,3,3,3,2
3,2,1,2,1,2
2,3,1,3,1,3
2,3,1,1,1,1
2,2,1,2,2,2
2,3,3,2,3,3
2,2,2,2,3,2
2,1,2,3,3,2
2,1,2,2,2,3
2,1,2,2,2,1
2,3,1,2,2,2
2,1,3,1,1,3
2,2,1,1,3,2
2,2,2,2,2,2
2,2,2,2,2,1
1,1,1,1,1,1
2,2,2,3,1,1
2,3,1,2,1,1
2,3,3,3,3,3
2,2,1,2,3,4
2,2,3,3,2,3
2,3,2,2,1,2
2,2,1,1,1,2
2,2,1,1,2,2
2,1,2,1,2,1
2,2,3,1,3,1
2,1,1,2,2,2
