'sentence1', 'sentence2', 'sentence3', 'sentence4', 'right ending', 'wrong ending'
A little girl wanted to eat cookies.,It was late at night and her parents were asleep.,The girl tiptoed across the kitchen slowly.,She reached her hand into the cookie jar and pulled out a cookie.,,
I was at Taco Bell one evening.,Nobody came to the counter to serve me.,"They even walked past, ignoring me.",I shouted at the workers and stomped out of the restaurant.,,
Barbara wanted to perfect her photography.,"To do so, she wanted to have a dark room of her own.",She found an new apartment with a dark closet.,She converted it into a dark room.,,
It started to snow outside.,Then there was extreme hail.,Kelly got mad.,She needed there to be good weather.,,
"While walking down the street, Ramona found a wallet in the grass.",She opened it and found the ID of a man named Jack.,She searched the internet and messaged him about what she found.,They ended up emailing a lot in the days before they could meet.,,
Hannah couldn't find anything to drink at the park.,She tried to look everywhere for a glass of water or juice.,Her mom directed her to a cooler.,"However, she instantly grabbed a cup that was out.",,
Hannah lived in a poor section of town.,Her dog got out one morning.,She went out on the porch and yelled for Snickers.,The neighbor heard her and got angry.,,
Tina had just turned forty.,She examined herself in the mirror and thought she looked okay.,Then she spotted something terrible.,She had her very first gray hair!,,
Danielle likes to go hunting with her grandfather.,From the time that she was a little girl she used to go with him.,Most girls didn't like to hunt but she always has.,She mostly loved spending time with her grandfather.,,
Jody was bringing home her newest baby from the hospital.,Her ten year old was the most eager to meet the baby.,She had him wash up and then let him hold the baby.,His favorite thing was how soft the baby was.,,
Andrew loved his father's car.,Andrew's father knew that and was going to give him the car.,It was Andrew's birthday.,After dinner Andrew's father a took Andrew to the front yard.,,
"Jace's hair had grown so long, that he was ready for a haircut.","At the salon, the cosmetologist put a colorful cover over Jace.","She began to cut his hair, and he sat very still.","After she finished cutting his hair, she styled it.",,
Rob got a starring role in a new sitcom.,"The writing was terrible, so it was cancelled quickly.",Rob's reputation was ruined.,He never worked in Hollywood again.,,
Beth needed a new outfit.,She had a special work event coming up.,She saw a shirt online and went to the store to see it.,It was even prettier in person!,,
Anna was so excited to take her road test.,She could not wait to get her license!,But she failed her test!,Anna was devastated.,,
I decided to run instead of walk for once.,It felt difficult at first.,"But once I started, it was hard to stop.",I ended up running to miles my college.,,
"In China, Young Kim was known as a tough kid.","When he was three Year's old, he opened the back door of a moving van.",He fell out the van onto a busy highway in China.,The driver kept driving.,,
Joe's brother Jack was in the army and stationed overseas.,"Each week he wrote letters home, but then he stopped!","Joe was nervous and scared, wondering what happened to Jack.","When his bell rang he raced to the door, expecting the mailman.",,
John hated the neighbors two doors down.,"Every year, they put up tasteless and gory Halloween decorations.","But this year, they really topped anything from prior years.",They had a very realistic stuffed man hanging from a noose in a tree.,,
I was raking up the leaves in my yard into a pile for disposal.,I saw what I thought was a large stick of wood in the pile.,"I bent down to pull the stick out, but suddenly it moved!",The stick was really a garter snake resting in the warm leaves.,,
I was buying groceries.,"As I went to pay, I could not find my debit card.",I panicked.,I looked everywhere.,,
