sentence1,sentence2,sentence3,sentence4,right ending,wrong ending
A little girl wanted to eat cookies.,It was late at night and her parents were asleep.,The girl tiptoed across the kitchen slowly.,She reached her hand into the cookie jar and pulled out a cookie.,She ate the cookie.,She fed the cookie to her cat.
I was at Taco Bell one evening.,Nobody came to the counter to serve me.,"They even walked past, ignoring me.",I shouted at the workers and stomped out of the restaurant.,The waiter followed me out of the restaurant and apologized.,They had earned my loyalty.
Barbara wanted to perfect her photography.,"To do so, she wanted to have a dark room of her own.",She found an new apartment with a dark closet.,She converted it into a dark room.,She developed her negatives every day., She played hide and seek in the room every day. 
It started to snow outside.,Then there was extreme hail.,Kelly got mad.,She needed there to be good weather.,She decided to stay at home.,She found the weather too hot.
"While walking down the street, Ramona found a wallet in the grass.",She opened it and found the ID of a man named Jack.,She searched the internet and messaged him about what she found.,They ended up emailing a lot in the days before they could meet.,Ramona became good friends with Jack.,Jack decided he did not want to meet Ramona.
Hannah couldn't find anything to drink at the park.,She tried to look everywhere for a glass of water or juice.,Her mom directed her to a cooler.,"However, she instantly grabbed a cup that was out.",She accidentally spilled the water.,She walked away from the cooler without drinking.
Hannah lived in a poor section of town.,Her dog got out one morning.,She went out on the porch and yelled for Snickers.,The neighbor heard her and got angry.,He yelled at Hannah.,He gave Hannah some money.
Tina had just turned forty.,She examined herself in the mirror and thought she looked okay.,Then she spotted something terrible.,She had her very first gray hair!,She plucked out that hair.,She was bald.
Danielle likes to go hunting with her grandfather.,From the time that she was a little girl she used to go with him.,Most girls didn't like to hunt but she always has.,She mostly loved spending time with her grandfather.,They were best friends.,Her grandfather had to pay her for her company.
Jody was bringing home her newest baby from the hospital.,Her ten year old was the most eager to meet the baby.,She had him wash up and then let him hold the baby.,His favorite thing was how soft the baby was.,He kissed his brother.,He wanted the baby to be rougher.
Andrew loved his father's car.,Andrew's father knew that and was going to give him the car.,It was Andrew's birthday.,After dinner Andrew's father a took Andrew to the front yard.,Andrew was overwhelmed by the present.,Andrew received a bicycle.
"Jace's hair had grown so long, that he was ready for a haircut.","At the salon, the cosmetologist put a colorful cover over Jace.","She began to cut his hair, and he sat very still.","After she finished cutting his hair, she styled it.",Jace loved his new hair.,Jace was bald.
Rob got a starring role in a new sitcom.,"The writing was terrible, so it was cancelled quickly.",Rob's reputation was ruined.,He never worked in Hollywood again.,Rob became an engineer.,Rob became a director.
Beth needed a new outfit.,She had a special work event coming up.,She saw a shirt online and went to the store to see it.,It was even prettier in person!,Beth bought the shirt.,Beth did not buy the shirt.
Anna was so excited to take her road test.,She could not wait to get her license!,But she failed her test!,Anna was devastated.,She applied to retake the test.,She died in the car accident.
I decided to run instead of walk for once.,It felt difficult at first.,"But once I started, it was hard to stop.",I ended up running to miles my college.,I became very fit.,I became obese.
"In China, Young Kim was known as a tough kid.","When he was three Year's old, he opened the back door of a moving van.",He fell out the van onto a busy highway in China.,The driver kept driving.,He survived being hit by the car.,He took over the driver's seat.
Joe's brother Jack was in the army and stationed overseas.,"Each week he wrote letters home, but then he stopped!","Joe was nervous and scared, wondering what happened to Jack.","When his bell rang he raced to the door, expecting the mailman.",It was Jack.,Joe was sleeping.
John hated the neighbors two doors down.,"Every year, they put up tasteless and gory Halloween decorations.","But this year, they really topped anything from prior years.",They had a very realistic stuffed man hanging from a noose in a tree.,John wrote a complaint letter to the housing association.,John congratulated the neighbours for their achievement.
I was raking up the leaves in my yard into a pile for disposal.,I saw what I thought was a large stick of wood in the pile.,"I bent down to pull the stick out, but suddenly it moved!",The stick was really a garter snake resting in the warm leaves.,I jumped back and ran home.,I did not like the cold weather.
I was buying groceries.,"As I went to pay, I could not find my debit card.",I panicked.,I looked everywhere.,I found it in my bag.,I found communism to be very valid ideology.
Amy was at lunch with her friend Lynn.,May came over to deliver the bad news.,Amy's friend Kim was gossiping about Amy.,Kim didn't think Ben liked Amy.,Amy thought Kim was stupid.,Amy died a few years back.
Ken got a call from work one day.,He was supposed to be there.,Ken told them that wasn't his schedule.,He was informed that the schedule was changed last minute.,Ken lost his job.,Ken was promoted.
Ben stayed after school for an important event.,"Once the event was finished, everyone went home.",Ben had to wait on campus since his mom is picking him up.,She told him that she would be there soon.,He waited for three hours.,He picked his mother up.
The family gathered at a new restaurant.,It was Mexican and served great tacos.,They all sampled the different foods.,They agreed that the chicken tacos were their favorite.,They had a great time.,They decided never to come again.
Richard wanted to rent a cabin.,The only problem is the cabin was really far away.,Disregarding this problem he went ahead to schedule the trip.,Once he opened his cabin he soon grew disappointed.,The cabin was dirty.,The cabin was beautiful.
Sandy had finally saved up enough.,She wanted to get an easy bake oven.,She went and got a hammer.,Sandy eyed up her piggy bank and smash!,She could now go for a shopping spree.,She decided to save all her money.
Joe was driving his old car when it broke down on him.,Joe had enough and decided to buy a new car.,He went down to the dealership looking for a new car.,He went back and forth but finally decided on a Mustang.,He loved his Mustang.,His old car was a good as new.
Edward wanted to make a lasagna.,He made a list of the ingredients he would need.,Edward bought the ingredients at the grocery store.,"At home, Edward followed the recipe to make lasagna.",The lasagna he made was delicious.,The cookie he made was delicious.
The cowboy came to town for the rodeo.,He was determined to win.,He drew his bull's name.,He got on his bull and hung on tight.,He won the fight.,He spent all his lottery money.
Mother decided to have George help her make brownies.,"George loved to cook, especially baking sweets.",His Mother had him carefully measure the ingredients into the bowl.,George helped his Mother mix the ingredients together.,They made very good brownies.,They made very good pasta.
Karen's sister was coming to town.,Karen was very excited.,She planned many fun activities.,"The day they went to the beach, it rained.",They had to spent entire day indoors.,They wished it snowed.
Mary was very self conscious.,She always was careful of the pictures she took of herself.,One day someone got a picture of there spilling a drink.,It ended up in social media.,Mary was very embarassed.,Mary was happy that many people liked the photo.
Kim had a drinking problem.,Her friends and family got together to help.,They all talked to Kim and tried to be comforting.,Kim understood they were right.,Kim decided to stop drinking.,Kim decided to be alcoholic.
Keith is on vacation in the woods with his family.,He rents a nice little log cabin next to the water.,One evening he hears a noise outside.,He heads out to investigate at sees a huge bear!,He froze on the spot.,He loved it.
My family got together inside my cousin's house.,Everyone carried a dish with them.,The dishes were placed on the table.,"From chicken to potatoes, a lot of food was available.",We had a wonderful dinner together.,We went to the restaurant nearby.
Anne needed a wok to cook her meal.,She drove to the store.,Then she began looking at cooking pots and pans.,She selected a perfect wok.,She bought the wok.,She bought a cooking book.
The county fair was having a pie eating contest.,June felt her pies were superior to everyone else's.,She tried to bribe the judges to win the contest.,They refused the bribe as they wanted to play fair.,June won the contest.,Jun made the best cookies.
He pulled out a new board game.,He laid the pieces on the table.,He walked around the house looking for someone to play with.,Everyone said they were too busy.
Hank was driving down the road one day.,"Suddenly, he felt a big thump from a minor car accident.",He looked over the window and saw that he hit a man's car.,The man got out and he was very angry at Hank.
Dave has a pet bird.,He takes it everywhere with him.,Dave pet bird flew away one day.,Dave became very upset.
Tyler went to the zoo with his dad.,He laughed when he saw all the animals doing silly things.,His dad helped him take pictures of animals on the phone.,He liked the pictures and was very pleased.
Some people floated across the ocean.,They landed on a beach.,They began to form an organization.,They ratified their government.
Bob opened the curtains.,There were birds in the yard.,They were eating his garden plants.,He ran outside yelling.
Ed needed new fish for his tank.,He went to the pet store to look around.,He saw a tank full of mislabeled piranha!,They looked exotic but dangerous.
Brenda had lots of important papers.,She got a safety deposit box at the bank.,She stored them all there.,"After a few years, she went to retrieve them."
Mitchell looked at his watch.,It was close to midnight.,He knew he was going to miss curfew.,He ran home as fast as he could.
Jason had been practicing his moves.,Terry had also been practicing his moves.,The crowd cleared and the two stood in front of each other.,The music started and they began an epic dance battle.
Larry showed up unannounced on his brother's doorstep.,His brother made it very clear he wasn't amused.,He fired the first shot high above Larry's head.,The next one was a little bit lower.
Tommy has been unemployed for two Year's.,He has been looking for work but hasn't yet found anything.,One day Tommy sees a babysitter job advertised in the newspaper.,He applies and is given the job.
Millie got up early because she had a lot of cleaning to do.,Millie vacuumed the floor.,"Then she dusted all the furniture, woodwork, and pictures.","Millie cleaned the bathrooms, which is never fun."
Chris knew that his family was getting cramped in their small house.,Chris went over the budget and looked around at other houses.,Chris was not able to find a bigger house that they could afford.,Chris decided just to do things to make the small house seem bigger.
Nate submitted his application for the graduate program.,He received his results during the following week.,"Since he was furious, he went to speak with his dean.",She explained that the seats were simply full.
Tim slept through his alarm.,"When he woke up, he realized he was going to be late for class.",Tim rushed out the door without breakfast.,He barely made it to class on time.
Shane's landlord was trying to force him to move out.,Shane looked up the laws about evictions online.,He learned that this eviction was illegal.,He filed a report.
George was nervous about going to school.,He had never been away from his mom for a long time like that.,His mom tried to make him feel more comfortable but it didn't help.,When it was time to go to school George saw his teacher.
Cay and her dad were fishing one afternoon.,Cay caught a big sturgeon.,Her dad helped her clean it.,Then Cay's mom fried it up for dinner.
Greg rode his bike every day to work.,Most days Greg felt great about riding his bike.,He felt healthy and he felt very environmentally conscious.,"One day, Greg was almost hit by a car on his bike."
It was a really warm spring afternoon.,Jane was relaxing at the park.,She fell asleep on the bench she was sitting on.,She awoke to a bird on her head.
Three friends lived together.,Every night they met in the kitchen.,They sat at the table and discussed their problems.,Cheesecake was the fortitude of these conversations.
Ben dropped some sugar in his kitchen.,He forgot to clean it up right away.,"The next day, he saw a nasty shock.",The kitchen floor was swarming with black ants!
Randy hated being late.,He would get really angry at slow drivers.,Last week he snapped at a big guy in a truck.,The guy got out with a baseball bat and smashed Randy's car.
Tim liked spicy food.,He was eating with friends.,There was some hot sauce.,Tim figured he could eat a lot without it burning.
Jake was having a great time at dinner.,He was out with his girlfriend.,They finished up at the steakhouse.,Jake walked out to his parking spot.
Amber made breakfast for her kids.,They both wanted something different.,She decided to make what she wanted.,Neither of them liked it.
Sarah is really trying to get into shape for her wedding.,She hasn't had much luck yet and she feels lost.,She is just running but she doesn't seem to loose any weight.,She read a book that told her to mix cardio and weightlifting.
I was at the beach with friends.,We were bored and didn't know what to do.,We began collecting seashells.,The seashells were really colorful and unique.
Corey gave a lot of thought to doing some volunteer work.,Corey wanted to give back to his community in a meaningful way.,"At a school presentation, Corey learned about Habitat For Humanity.",Corey signed up for a Habitat for Humanity project in his town.
Fred had a stomach ache at school.,But he didn't want to miss out on anything important.,"But as the day went on, his stomach ache got worse.","In Fred's last class, he threw up."
George loved to read.,He bought a new book to read at night.,He got so into the book that he read for hours.,"When George finished the book, he looked for a sequel."
Jordan was watching TV on her couch.,It was raining outside and she noticed her cat scurrying inside.,The cat ran over to Jordan and hopped onto her lap.,"Jordan realized that the cat's paws were wet, but it was too late."
William was allergic to cats.,He went to his friend's house where there were 3 cats.,Williams eyes became very itchy.,William's friend gave him some allergy medicine.
Sam was a brilliant ballet dancer in a historic company.,"Edith, Sam's dance partner, was always extremely jealous of her.","On opening night, Edith could not stand that Sam was picked as lead.",Edith bought a gun which she brought to the theater.
Rory has a test today.,He was not prepared for this test at all.,"Desperate, Rory wrote the answers on the sole of his shoe in pencil.",The teacher noticed the answers shining from the ceiling lights.
Neil wanted to vacation in Asia.,He needed to stretch his dollar.,So he decided to fly to Thailand.,"There, he found great deals on lodging and food."
It was Emma's first day of kindergarten.,She was excited to start school.,Emma was also nervous that she would not know what to do.,Emma's teacher was very nice and helped her feel more comfortable.
Randy is driving his kids in his van.,While driving it begins to rain.,Randy loses control of the Van.,The van goes flying in a ditch.
I had been alone in South Africa for a while and was lonely.,I was excited to learn that some friends were having a celebration.,It was for New Year's and the party was full of young people.,That night I met some friends that I really liked.
Jane had problems remembering things.,"One day, she was drifting off to sleep.","Suddenly, a memory popped into her head.",She remembered something important from her childhood!
Bob studied hard in high school to get good grades.,Bob applied to a good college.,Bob got accepted to the college.,In college Bob studied hard to meet the requirements.
Sue had decided not to get a new pair of eyeglasses at her eye exam.,"Just before her next appointment, one earpiece broke.","The next week, the other one broke, too!",She was afraid the glasses would not last until the next appointment.
Roxy doesn't like cooking.,She goes out of her way to not cook a meal.,So she eats a lot of snacks instead of meals.,But sometimes she wants a hot meal.
Lisa was shopping at Target.,She found some fun dinosaur stickers.,She wanted to put them in her son's room.,She looked at the wall and chose a spot.
The task seemed like an easy one.,It would only take a few moments and was simple to do.,The task had to be done with another worker connected online.,The connection was made quickly but the other worker never answered.
Charlie was afraid of trying to learn to ride a bike.,He was scared of falling and getting hurt.,His dad reassured him that he would be fine.,Eventually Charlie learned to ride a bike.
Bob bought a new hot tub.,He invited all of his friends over to try it.,Five people all got into the tiny hot tub.,They stayed in the hot tub all day.
George bought a new car.,He read the owner's manual.,He disagreed with the recommended tire pressure.,He contacted the manufacturer.
Stan wears eye glasses.,He hates wearing glasses.,He took his glasses off and stepped on them.,Stan realizes that he can not see anymore.
Gina was afraid of her Grandma's big dogs.,The big dogs were barking and jumping at her.,Her grandma wouldn't let her come inside until she fed them.,She stood with her hand on the gate watching them jump.
Beth was having a hard time writing her term paper.,She was trying to reach the word limit and coming up short.,She even filled half the report with fluff.,Beth eventually went online and found a relevant paper.
